NAMNR,TAXONNAME,SPECIES,GENUS,EPITHET,AUTHOR,NATIVE,SUMMER,WINTER,BioDiv2005,COUNT,SCORE,ATTEMPTS,INCLUDE
1,Abies alba Mill.,Abies alba,Abies,alba,Mill.,1,0,1,0,0,0,0,1
6,Acer campestre L.,Acer campestre,Acer,campestre,L.,1,1,1,1,0,0,0,1
8,Acer negundo L.,Acer negundo,Acer,negundo,L.,0,1,1,0,0,0,0,1
14,Acer platanoides L.,Acer platanoides,Acer,platanoides,L.,1,1,1,1,0,0,0,1
15,Acer pseudoplatanus L.,Acer pseudoplatanus,Acer,pseudoplatanus,L.,1,1,1,1,0,0,0,1
89,Aesculus hippocastanum L.,Aesculus hippocastanum,Aesculus,hippocastanum,L.,0,1,1,1,0,0,0,1
131,Ailanthus altissima (Mill.) Swingle,Ailanthus altissima,Ailanthus,altissima,(Mill.) Swingle,0,1,1,0,0,0,0,1
325,Alnus glutinosa (L.) J. Gaertn.,Alnus glutinosa,Alnus,glutinosa,(L.) J. Gaertn.,1,1,1,0,0,0,0,1
326,Alnus incana (L.) Moench,Alnus incana,Alnus,incana,(L.) Moench,1,1,1,0,0,0,0,1
818,Berberis vulgaris L.,Berberis vulgaris,Berberis,vulgaris,L.,1,1,1,0,0,0,0,1
827,Betula humilis Schrank,Betula humilis,Betula,humilis,Schrank,1,1,1,0,0,0,0,1
829,Betula pendula Roth,Betula pendula,Betula,pendula,Roth,1,1,1,1,0,0,0,1
961,Buxus sempervirens L.,Buxus sempervirens,Buxus,sempervirens,L.,1,1,1,0,0,0,0,1
1007,Calluna vulgaris (L.) Hull,Calluna vulgaris,Calluna,vulgaris,(L.) Hull,1,1,1,0,0,0,0,1
1318,Carpinus betulus L.,Carpinus betulus,Carpinus,betulus,L.,1,1,1,1,0,0,0,1
1323,Castanea sativa Mill.,Castanea sativa,Castanea,sativa,Mill.,1,1,1,0,0,0,0,1
1591,Clematis vitalba L.,Clematis vitalba,Clematis,vitalba,L.,1,1,1,1,0,0,0,1
1649,Cornus mas L.,Cornus mas,Cornus,mas,L.,1,1,1,0,0,0,0,1
